Month,Day,Year,River,Telemetry_Tag,Transmitter,AnimalID
10,12,2011,PR,V9,2634,lone_6747
10,4,2011,PR,V9,2635,lone_6762
9,27,2011,PR,V9,2636,lone_9344
10,13,2011,PR,V9,2639,lone_9534
10,4,2011,PR,V9,2640,lone_6755
8,24,2011,OR,VEMCO,6505,15061
8,25,2011,OR,VEMCO,6506,lone_11361
8,25,2011,OR,VEMCO,6507,lone_11360
8,25,2011,OR,VEMCO,6508,lone_5997
8,25,2011,OR,VEMCO,6509,lone_5996
8,25,2011,OR,VEMCO,6512,lone_11362
8,25,2011,OR,VEMCO,6513,lone_5246
8,10,2011,OR,VEMCO,19298,lone_2817
8,10,2011,OR,V16,19300,9985
8,10,2011,OR,V16,19301,lone_5670
8,10,2011,OR,V16,19302,lone_5666
8,10,2011,OR,V16,19303,lone_8672
8,10,2011,OR,V16,19304,lone_8674
8,24,2011,OR,V16,19305,lone_1489
8,25,2011,OR,V16,19306,lone_5248
8,25,2011,OR,V16,19307,lone_7373
10,26,2011,AR,V16,29956,9497
10,26,2011,AR,V16,29957,lone_4459
10,26,2011,AR,V16,29958,lone_4460
11,1,2011,AR,V16,29959,15355
11,1,2011,AR,V16,29960,15170
11,1,2011,AR,V16,29961,lone_5089
11,1,2011,AR,V16,29962,lone_4989
11,2,2011,AR,V16,29963,lone_5094
11,2,2011,AR,V16,29964,lone_1051
11,2,2011,AR,V16,29965,15367
11,3,2011,AR,V16,29966,14993
11,9,2011,AR,V16,29967,lone_4448
10,4,2011,BR,V16,30528,lone_1387
10,6,2011,BR,V16,30529,14449
10,5,2011,BR,V16,30530,lone_997
10,6,2011,BR,V16,30531,14310
10,6,2011,BR,V16,30532,lone_4685
10,6,2011,BR,V16,30533,lone_7096
10,5,2011,BR,V16,30534,12135
10,6,2011,BR,V16,30535,lone_993
10,5,2011,BR,V16,30536,11845
10,4,2011,BR,V16,30537,lone_4684
10,5,2011,BR,V16,30538,lone_1389
10,4,2011,BR,V16,30539,12103
10,3,2011,BR,V16,30540,lone_1273
10,4,2011,BR,V16,30541,15032
10,3,2011,BR,V16,30542,lone_1274
10,3,2011,BR,V16,30543,lone_1275
10,3,2011,BR,V16,30544,lone_7098
10,3,2011,BR,V16,30545,lone_1276
10,3,2011,BR,V16,30546,14085
10,4,2011,BR,V16,30547,lone_1386
9,29,2011,YR,V16,30548,lone_6727
9,29,2011,YR,V16,30549,lone_5679
10,2,2011,YR,V16,30550,14292
10,2,2011,YR,V16,30551,lone_4012
10,6,2011,YR,V16,30552,lone_2916
10,6,2011,YR,V16,30553,lone_5827
10,7,2011,YR,V16,30554,14287
10,9,2011,YR,V16,30555,lone_8871
10,9,2011,YR,V16,30556,14247
10,10,2011,YR,V16,30557,lone_959
10,11,2011,YR,V16,30558,lone_10346
10,12,2011,YR,V16,30559,14139
10,12,2011,YR,V16,30560,lone_11814
10,3,2011,YR,V16,30561,lone_1145
10,3,2011,YR,V16,30562,lone_7626
10,4,2011,YR,V16,30563,lone_8550
10,4,2011,YR,V16,30564,lone_8551
10,5,2011,YR,V16,30565,lone_2947
10,5,2011,YR,V16,30566,lone_2949
10,12,2011,CR,V16,30567,lone_8966
10,12,2011,CR,V16,30568,12396
10,12,2011,CR,V16,30569,12132
10,12,2011,CR,V16,30570,lone_7375
10,12,2011,CR,V16,30571,lone_7376
10,12,2011,CR,V16,30572,lone_7377
10,12,2011,CR,V16,30573,lone_8961
10,13,2011,CR,V16,30574,15015
10,13,2011,CR,V16,30575,lone_8962
10,13,2011,CR,V16,30576,12347
10,13,2011,CR,V16,30577,lone_7379
10,13,2011,CR,V16,30578,10917
10,14,2011,CR,V16,30579,14998
10,13,2011,CR,V16,30580,lone_7378
10,14,2011,CR,V16,30581,10856
10,13,2011,CR,V16,30582,lone_7393
10,13,2011,CR,V16,30583,11574
10,13,2011,CR,V16,30584,lone_7391
10,12,2011,CR,V16,30585,lone_7384
10,12,2011,CR,V16,30586,12121
11,3,2011,PR,V13,30589,lone_9944
10,17,2011,ER,V16,30590,lone_47
11,8,2011,AR,V16,30591,lone_3321
10,18,2011,ER,V16,30593,lone_1268
10,18,2011,ER,V16,30594,lone_1269
10,26,2011,AR,V16,30595,lone_1816
10,26,2011,AR,V16,30596,lone_4454
10,26,2011,AR,V16,30597,14970
10,17,2011,ER,V16,30598,11881
10,18,2011,ER,V16,30599,lone_1270
10,27,2011,ER,V16,30600,lone_11188
10,14,2011,SR,V16,30601,lone_6751
10,17,2011,SR,V16,30602,lone_9524
10,14,2011,SR,V16,30603,6397
10,17,2011,SR,V16,30604,lone_10076
10,14,2011,SR,V16,30605,lone_6752
10,17,2011,SR,V16,30606,lone_9525
10,14,2011,SR,V16,30607,lone_6753
10,14,2011,SR,V16,30608,lone_6754
10,13,2011,SR,V16,30609,lone_6748
10,13,2011,SR,V16,30610,lone_9541
10,13,2011,SR,V16,30611,lone_9539
10,13,2011,SR,V16,30612,lone_10073
10,13,2011,SR,V16,30613,lone_9540
10,17,2011,SR,V16,30614,lone_9528
10,13,2011,SR,V16,30615,lone_9543
10,17,2011,SR,V16,30616,lone_9527
10,13,2011,SR,v16,30617,lone_9544
10,17,2011,SR,V16,30618,lone_9526
10,13,2011,SR,V16,30619,lone_9545
10,13,2011,SR,V16,30620,lone_10072
10,11,2011,CR,V16,31730,lone_1246
10,11,2011,CR,V16,31731,lone_1247
10,11,2011,CR,V16,31732,lone_1248
10,3,2011,CR,V16,31733,lone_7267
10,11,2011,CR,V16,31734,lone_1320
10,11,2011,CR,V16,31735,lone_1321
10,12,2011,CR,V16,31736,11772
10,12,2011,CR,V16,31737,lone_7374
10,12,2011,CR,V16,31738,lone_7387
10,12,2011,CR,V16,31739,lone_7382
10,12,2011,CR,V16,31740,lone_7383
10,12,2011,CR,V16,31741,lone_7389
10,12,2011,CR,V16,31742,lone_7386
10,12,2011,CR,V16,31743,lone_7388
10,13,2011,CR,V16,31744,lone_7390
10,13,2011,CR,V16,31745,lone_8964
10,13,2011,CR,V16,31746,lone_7392
10,13,2011,CR,V16,31747,lone_6750
10,13,2011,CR,V16,31748,lone_7380
10,14,2011,CR,V16,31749,lone_8965
10,14,2011,CR,V16,31750,lone_11887
10,14,2011,CR,V16,31751,lone_11889
10,14,2011,CR,V16,31752,lone_8963
10,14,2011,CR,V16,31753,lone_11890
10,13,2011,CR,V16,31754,lone_9369
10,14,2011,CR,V16,31755,lone_6019
10,14,2011,CR,V16,31756,12445
10,14,2011,CR,V16,31757,lone_6018
10,14,2011,CR,V16,31758,lone_6020
10,14,2011,CR,V16,31759,lone_7381
10,12,2011,PR,V13,31792,lone_6761
10,13,2011,PR,V13,31794,14966
10,13,2011,PR,V16,32248,lone_8913
11,1,2011,PR,V13,40494,lone_1153
9,20,2011,PR,V9,40497,lone_7087
9,27,2011,PR,V9,40498,lone_9341
10,12,2011,ER,V16,44356,lone_5426
10,3,2011,YR,V16,44357,lone_1147
10,12,2011,ER,V16,44358,lone_5425
9,20,2011,PR,V13,45053,14950
11,3,2010,PR,V13,45652,lone_8397
11,4,2010,PR,V13,45653,lone_4245
10,20,2010,PR,V13,45655,lone_7314
11,3,2010,PR,V13,45656,lone_8612
10,13,2010,ER,V16,45709,lone_572
10,13,2010,ER,V16,45710,lone_6819
10,13,2010,ER,V16,45712,lone_6812
10,19,2010,ER,V16,45713,14737
10,14,2010,ER,V16,45715,lone_5573
10,7,2010,BR,V16,45716,lone_11123
9,28,2010,PE,V16,45717,lone_6088
10,7,2010,BR,V16,45718,lone_11125
10,6,2010,PE,V16,45719,lone_3277
10,13,2010,PE,V16,45720,lone_10617
10,13,2010,PE,V16,45721,lone_2150
10,19,2010,ER,V16,45722,12557
10,15,2010,BR,V16,45723,lone_10401
10,14,2010,ER,V16,45724,11783
10,6,2010,BR,V16,45725,lone_11914
10,19,2010,ER,V16,45726,14931
9,28,2010,PE,V16,45727,lone_6465
10,7,2010,PE,V16,45729,lone_8400
10,15,2010,BR,V16,45730,lone_8691
10,13,2010,ER,V16,45732,lone_11705
10,13,2010,ER,V16,45733,10288
10,15,2010,BR,V16,45734,14923
10,19,2010,ER,V16,45735,lone_8634
10,19,2010,ER,V16,45736,lone_11920
10,6,2010,BR,V16,45738,lone_2450
10,15,2010,BR,V16,45739,lone_10393
10,13,2010,YR,V16,45740,14086
10,6,2010,BR,V16,45741,lone_7580
10,15,2010,BR,V16,45743,lone_10397
10,14,2010,ER,V16,45744,lone_5570
10,7,2010,BR,V16,45745,14104
9,28,2010,PE,V16,45746,lone_11944
9,30,2010,PE,V16,45747,lone_10616
10,6,2010,PE,V16,45749,lone_3276
10,7,2010,BR,V16,45750,lone_3237
10,19,2010,ER,V16,45751,lone_11852
9,28,2011,PE,V13,45752,lone_6166
10,12,2010,ER,V16,45754,lone_578
10,7,2010,BR,V16,45755,10004
10,13,2010,ER,V16,45756,14901
10,14,2010,ER,V16,45757,lone_6147
10,15,2010,BR,V16,45758,14290
10,6,2010,BR,V16,45759,lone_11913
10,7,2010,BR,V16,45760,14484
10,14,2010,ER,V16,45761,14920
10,13,2010,ER,V16,45762,lone_11704
10,15,2010,BR,V16,45763,lone_10403
10,7,2010,BR,V16,45764,lone_3239
9,28,2010,PE,V16,45765,lone_4246
10,6,2010,BR,V16,45766,lone_11915
10,15,2010,PE,V16,45767,lone_11798
10,7,2010,BR,V16,45768,11431
10,9,2010,CR,V16,45853,lone_5555
10,9,2010,CR,V16,45854,lone_5810
10,9,2010,CR,V16,45855,lone_5812
10,9,2010,CR,V16,45856,11849
10,9,2010,CR,V16,45857,11200
10,11,2010,CR,V16,45858,lone_3312
10,11,2010,CR,V16,45859,lone_5808
10,9,2010,CR,V16,45860,12335
10,11,2010,CR,V16,45861,12409
10,9,2010,CR,V16,45862,lone_3314
10,11,2010,CR,V16,45863,lone_3316
10,11,2010,CR,V16,45864,lone_8683
10,11,2010,CR,V16,45865,14855
10,11,2010,CR,V16,45866,10484
10,11,2010,CR,V16,45867,14856
10,9,2010,CR,V16,46033,12175
10,9,2010,CR,V16,46034,lone_5545
10,9,2010,CR,V16,46035,lone_8676
10,9,2010,CR,V16,46036,12199
10,11,2010,CR,V16,46037,11359
10,12,2010,CR,V16,46038,lone_7820
10,9,2010,CR,V16,46039,12266
10,12,2010,CR,V16,46040,lone_10609
10,12,2010,CR,V16,46041,lone_11799
10,13,2010,CR,V16,46042,lone_11806
10,13,2010,CR,V16,46043,lone_6686
10,13,2010,CR,V16,46044,lone_4624
10,13,2010,CR,V16,46045,lone_4298
10,13,2010,CR,V16,46046,lone_4802
10,13,2010,CR,V16,46047,lone_11937
10,13,2010,CR,V16,46048,lone_6555
10,14,2010,CR,V16,46049,lone_11808
10,14,2010,CR,V16,46050,11294
10,14,2010,CR,V16,46051,lone_7177
10,14,2010,CR,V16,46052,lone_11807
10,6,2010,YR,V16,46123,9844
9,30,2010,SR,V16,46142,lone_7815
9,30,2010,SR,V16,46143,lone_4817
9,30,2010,SR,V16,46144,7803
9,30,2010,SR,V16,46145,lone_4813
9,30,2010,SR,V16,46146,lone_11804
9,30,2010,SR,V16,46147,4730
9,30,2010,SR,V16,46148,lone_11805
9,27,2010,SR,V16,46149,lone_4250
9,27,2010,SR,V16,46150,6875
9,27,2010,SR,V16,46151,lone_6118
9,27,2010,SR,V16,46152,lone_4256
9,27,2010,SR,V16,46153,8366
9,27,2010,SR,V16,46154,lone_6688
9,27,2010,SR,V16,46155,lone_5562
9,27,2010,SR,V16,46156,7107
9,27,2010,SR,V16,46157,lone_5547
9,27,2010,SR,V16,46158,lone_4249
9,27,2010,SR,V16,46159,lone_4248
9,27,2010,SR,V16,46160,lone_5553
9,27,2010,SR,V16,46161,lone_5556
10,6,2010,YR,V16,46163,lone_6225
10,5,2010,YR,V16,46164,lone_8632
10,6,2010,YR,V16,46165,9601
10,6,2010,YR,V16,46166,14823
10,6,2010,YR,V16,46166,
10,6,2010,YR,V16,46168,12137
10,5,2010,YR,V16,46169,14515
10,6,2010,YR,V16,46171,lone_11959
11,6,2010,AR,V16,46172,lone_6129
10,25,2010,AR,V16,46173,lone_4167
10,30,2010,AR,V16,46174,12109
10,24,2010,AR,V16,46175,lone_11924
10,26,2010,AR,V16,46176,lone_6344
11,7,2010,AR,V16,46177,lone_10612
11,3,2010,AR,V16,46178,lone_10620
11,2,2010,AR,V16,46179,lone_5318
10,26,2010,AR,V16,46180,8756
11,7,2010,AR,V16,46181,lone_7058
10,12,2010,CR,V16,46182,lone_7818
10,12,2010,CR,V16,46183,14859
10,12,2010,CR,V16,46184,11256
10,12,2010,CR,V16,46185,11172
10,12,2010,CR,V16,46186,lone_3318
10,12,2010,CR,V16,46187,lone_3325
10,12,2010,CR,V16,46188,14863
10,12,2010,CR,V16,46189,lone_11795
10,12,2010,CR,V16,46190,lone_11801
10,12,2010,CR,V16,46191,lone_11797
10,13,2010,CR,V16,46192,lone_11802
10,13,2010,CR,V16,46193,lone_11796
10,13,2010,CR,V16,46194,lone_6690
10,13,2010,CR,V16,46195,lone_11147
11,8,2011,AR,V16,46196,lone_4608
10,13,2011,ER,V16,46197,lone_11189
10,18,2011,ER,V16,46198,lone_7092
11,8,2011,AR,V16,46199,lone_1166
11,8,2011,AR,V16,46200,lone_4614
10,13,2011,ER,V16,46201,12192
11,9,2011,AR,V16,46202,9702
10,13,2011,ER,V16,46203,lone_219
10,13,2011,ER,V16,46204,lone_11185
10,13,2011,ER,V16,46205,lone_11184
9,30,2011,YR,V16,46214,14326
10,7,2010,PR,V16,46215,lone_8618
10,1,2010,YR,V16,46216,lone_4143
10,1,2010,YR,V16,46217,14251
10,2,2010,YR,V16,46218,14239
10,2,2010,YR,V16,46219,lone_11124
10,2,2010,YR,V16,46220,14801
10,3,2010,YR,V16,46221,lone_7067
10,2,2010,YR,V16,46222,lone_10648
10,5,2010,YR,V16,46223,lone_11962
10,3,2010,YR,V16,46224,14143
10,24,2010,AR,V16,46226,lone_4312
10,26,2010,AR,V16,46227,lone_5820
10,20,2010,AR,V16,46228,8708
11,2,2010,AR,V16,46229,lone_4174
10,29,2010,AR,V16,46230,lone_8636
10,20,2010,AR,V16,46231,lone_5554
10,20,2010,AR,V16,46232,lone_7170
10,20,2010,AR,V16,46233,9242
10,30,2010,AR,V16,46234,10535
11,6,2010,AR,V16,46235,lone_8977
10,13,2010,CR,V16,46236,lone_4258
9,10,2010,BR,V16,46419,11890
9,10,2010,BR,V16,46420,9990
9,10,2010,BR,V16,46421,lone_11607
9,10,2010,BR,V16,46423,14281
9,10,2010,BR,V16,46425,12119
9,10,2010,BR,V16,46427,11706
9,1,2010,YR,V16,46428,11251
8,31,2010,ER,V16,46429,lone_2081
9,2,2010,BR,V16,46430,14709
8,31,2010,ER,V16,46431,9961
9,2,2010,BR,V16,46432,lone_2810
9,1,2010,YR,V16,46433,lone_11596
9,2,2010,BR,V16,46434,lone_6445
9,1,2010,YR,V16,46435,lone_11595
9,2,2010,BR,V16,46436,14719
9,1,2010,YR,V16,46437,14679
9,2,2010,BR,V16,46438,lone_6459
9,1,2010,YR,V16,46439,14236
10,1,2010,YR,V16,46440,lone_11368
10,1,2010,YR,V16,46441,lone_8633
9,30,2010,YR,V16,46442,14218
9,28,2010,YR,V16,46443,lone_6336
9,30,2010,YR,V16,46445,lone_5828
9,9,2010,ER,V16,46446,11532
9,9,2010,ER,V16,46447,lone_1912
9,9,2010,ER,V16,46448,11780
9,9,2010,ER,V16,46449,11597
9,9,2010,ER,V16,46450,lone_4189
9,9,2010,ER,V16,46451,lone_4191
9,9,2010,ER,V16,46452,lone_4188
9,9,2010,ER,V16,46453,lone_1901
9,8,2010,YR,V16,46454,lone_11602
9,9,2010,ER,V16,46455,lone_7272
9,8,2010,YR,V16,46456,lone_6455
9,8,2010,YR,V16,46457,lone_1900
10,7,2010,PR,V13,46567,lone_4141
11,3,2010,PR,V13,46568,lone_8623
9,9,2010,PR,V13,46569,14736
9,13,2010,PR,V13,46571,lone_11911
11,3,2010,PR,V13,46572,14966
10,27,2010,PR,V13,46573,14125
9,9,2010,PR,V13,46574,lone_8684
10,29,2010,PR,V13,46575,14950
9,9,2010,PR,V13,46576,lone_4859
6,3,2010,CR,V16,47987,14542
6,3,2010,CR,V16,47988,lone_6352
6,3,2010,CR,V16,47989,lone_8690
6,3,2010,CR,V16,47990,12534
6,3,2010,CR,V16,47991,11609
11,4,2010,PR,V13,56570,lone_6248
10,11,2010,CR,V16,62408,lone_3319
10,7,2010,YR,V16,4617?,lone_11592
10,7,2010,BR,V16,N/A,lone_10647
10,6,2010,YR,V16,NA,lone_11956
8,10,2011,OR,VEMCO,V,lone_2814
