"Transmitter","River","Date","FL"
47988,CR,Yr1/6,129
47990,CR,Yr1/6,128
47991,CR,Yr1/6,139
47989,CR,Yr1/6,138
46431,ER,Yr1/8,138
46429,ER,Yr1/8,135
46435,YR,Yr1/9,174
46433,YR,Yr1/9,128
46437,YR,Yr1/9,138
46439,YR,Yr1/9,133
46428,YR,Yr1/9,187
46432,BR,Yr1/9,140
46434,BR,Yr1/9,163
46436,BR,Yr1/9,127
46438,BR,Yr1/9,133
46456,YR,Yr1/9,178
46457,YR,Yr1/9,132
46454,YR,Yr1/9,151
46452,ER,Yr1/9,190
46455,ER,Yr1/9,139
46453,ER,Yr1/9,161
46450,ER,Yr1/9,132
46448,ER,Yr1/9,135
46451,ER,Yr1/9,150
46446,ER,Yr1/9,127
46447,ER,Yr1/9,145
46419,BR,Yr1/9,138
46421,BR,Yr1/9,165
46425,BR,Yr1/9,174
46423,BR,Yr1/9,188
46427,BR,Yr1/9,147
46152,SR,Yr1/9,166.8
46153,SR,Yr1/9,152
46154,SR,Yr1/9,145.2
46158,SR,Yr1/9,171.4
46156,SR,Yr1/9,166
46157,SR,Yr1/9,146.6
46160,SR,Yr1/9,139.8
46161,SR,Yr1/9,142.4
46159,SR,Yr1/9,173.6
46155,SR,Yr1/9,143
46150,SR,Yr1/9,174
46149,SR,Yr1/9,170.8
46151,SR,Yr1/9,163
45746,PE,Yr1/9,132
45717,PE,Yr1/9,162.5
46443,YR,Yr1/9,155
46143,SR,Yr1/9,151.6
46142,SR,Yr1/9,157.2
46144,SR,Yr1/9,140.4
46145,SR,Yr1/9,153
46146,SR,Yr1/9,164.2
46147,SR,Yr1/9,161.8
46148,SR,Yr1/9,137.2
46442,YR,Yr1/9,130
46445,YR,Yr1/9,145
46217,YR,Yr1/10,140
46441,YR,Yr1/10,133
46440,YR,Yr1/10,139
46218,YR,Yr1/10,140
46222,YR,Yr1/10,133
46219,YR,Yr1/10,174
46224,YR,Yr1/10,184
46221,YR,Yr1/10,149
46223,YR,Yr1/10,134
46164,YR,Yr1/10,155.4
46169,YR,Yr1/10,160
45719,PE,Yr1/10,157.8
45759,BR,Yr1/10,147
45725,BR,Yr1/10,136
45766,BR,Yr1/10,183
45741,BR,Yr1/10,200
45738,BR,Yr1/10,186
46165,YR,Yr1/10,141
46163,YR,Yr1/10,161
46123,YR,Yr1/10,176
46171,YR,Yr1/10,150
46168,YR,Yr1/10,138
46215,PR,Yr1/10,147
45750,BR,Yr1/10,140
45764,BR,Yr1/10,148
45755,BR,Yr1/10,143
45716,BR,Yr1/10,147
45718,BR,Yr1/10,142
45745,BR,Yr1/10,176
45768,BR,Yr1/10,158
4617?,YR,Yr1/10,146
45853,CR,Yr1/10,187.7
45854,CR,Yr1/10,139.6
46033,CR,Yr1/10,126
45856,CR,Yr1/10,138.4
45857,CR,Yr1/10,172.4
45860,CR,Yr1/10,136
45862,CR,Yr1/10,186
45855,CR,Yr1/10,139
45859,CR,Yr1/10,140
45858,CR,Yr1/10,173
45861,CR,Yr1/10,172
45864,CR,Yr1/10,169
45865,CR,Yr1/10,131
46182,CR,Yr1/10,131
46038,CR,Yr1/10,128
46184,CR,Yr1/10,135
46040,CR,Yr1/10,125
46185,CR,Yr1/10,167
46186,CR,Yr1/10,181
46187,CR,Yr1/10,140
46188,CR,Yr1/10,136
46189,CR,Yr1/10,152
46041,CR,Yr1/10,126
46190,CR,Yr1/10,143
46191,CR,Yr1/10,185
45754,ER,Yr1/10,139
46225,YR,Yr1/10,173
46192,CR,Yr1/10,165
46193,CR,Yr1/10,160
46194,CR,Yr1/10,132
46043,CR,Yr1/10,127
46195,CR,Yr1/10,147
46236,CR,Yr1/10,177
46045,CR,Yr1/10,125
46046,CR,Yr1/10,125
46048,CR,Yr1/10,126
45720,PE,Yr1/10,170
45721,PE,Yr1/10,148
45740,YR,Yr1/10,140
45762,ER,Yr1/10,143
45733,ER,Yr1/10,183
45732,ER,Yr1/10,131
45710,ER,Yr1/10,157
45712,ER,Yr1/10,153
45757,ER,Yr1/10,137
45744,ER,Yr1/10,143
45767,PE,Yr1/10,148
45758,BR,Yr1/10,175
45730,BR,Yr1/10,158
45743,BR,Yr1/10,135
45723,BR,Yr1/10,175
45722,ER,Yr1/10,142
45751,ER,Yr1/10,148
45735,ER,Yr1/10,127
46228,AR,Yr1/10,150
46233,AR,Yr1/10,154
46232,AR,Yr1/10,145
46231,AR,Yr1/10,146
46175,AR,Yr1/10,177
46226,AR,Yr1/10,140
46173,AR,Yr1/10,152
46227,AR,Yr1/10,135
46176,AR,Yr1/10,188
46180,AR,Yr1/10,159
46573,PR,Yr1/10,138.5
46230,AR,Yr1/10,139
46174,AR,Yr1/10,125
46234,AR,Yr1/10,141
46229,AR,Yr1/11,143
46179,AR,Yr1/11,137
46172,AR,Yr1/11,135
46235,AR,Yr1/11,148
46177,AR,Yr1/11,139
46181,AR,Yr1/11,171
19298,OR,Yr2/8,152
19299,OR,Yr2/8,155
19300,OR,Yr2/8,161
19301,OR,Yr2/8,162
19302,OR,Yr2/8,172
19303,OR,Yr2/8,174
19304,OR,Yr2/8,144
19305,OR,Yr2/8,132
19306,OR,Yr2/8,145
19307,OR,Yr2/8,144
6507,OR,Yr2/8,140
6506,OR,Yr2/8,135
6512,OR,Yr2/8,147
45752,PE,Yr2/9,127.6
30549,YR,Yr2/9,125
30548,YR,Yr2/9,176
46214,YR,Yr2/9,180
30550,YR,Yr2/10,143
30551,YR,Yr2/10,131
30544,BR,Yr2/10,132
30546,BR,Yr2/10,161
30540,BR,Yr2/10,128
30542,BR,Yr2/10,155
30545,BR,Yr2/10,179
44357,YR,Yr2/10,126
30562,YR,Yr2/10,169
30547,BR,Yr2/10,138
30528,BR,Yr2/10,179
30539,BR,Yr2/10,139
30537,BR,Yr2/10,195
30563,YR,Yr2/10,132
30564,YR,Yr2/10,195
30538,BR,Yr2/10,125
30534,BR,Yr2/10,129
30530,BR,Yr2/10,132
30565,YR,Yr2/10,176
30566,YR,Yr2/10,150
30532,BR,Yr2/10,132
30529,BR,Yr2/10,180
30531,BR,Yr2/10,169
30533,BR,Yr2/10,155
30552,YR,Yr2/10,130
30553,YR,Yr2/10,141
30554,YR,Yr2/10,173
30555,YR,Yr2/10,126
30556,YR,Yr2/10,135
30557,YR,Yr2/10,131
31734,CR,Yr2/10,127
30558,YR,Yr2/10,140
31736,CR,Yr2/10,127
30567,CR,Yr2/10,177
30568,CR,Yr2/10,157
30569,CR,Yr2/10,131
30570,CR,Yr2/10,168
31741,CR,Yr2/10,127
30571,CR,Yr2/10,167
30572,CR,Yr2/10,143
30585,CR,Yr2/10,141
30586,CR,Yr2/10,186
30573,CR,Yr2/10,187
44358,ER,Yr2/10,149
44356,ER,Yr2/10,130
30559,YR,Yr2/10,129
30560,YR,Yr2/10,128
30583,CR,Yr2/10,141
30584,CR,Yr2/10,132
30582,CR,Yr2/10,132
30574,CR,Yr2/10,134
30580,CR,Yr2/10,142
30576,CR,Yr2/10,177
30575,CR,Yr2/10,158
30578,CR,Yr2/10,188
30577,CR,Yr2/10,177
30609,SR,Yr2/10,181
30611,SR,Yr2/10,148.6
30613,SR,Yr2/10,147.6
30610,SR,Yr2/10,133.8
30615,SR,Yr2/10,157
30617,SR,Yr2/10,129
30619,SR,Yr2/10,129.4
30620,SR,Yr2/10,135.6
30612,SR,Yr2/10,134.8
46197,ER,Yr2/10,131
46203,ER,Yr2/10,125
46201,ER,Yr2/10,126
46204,ER,Yr2/10,151
31759,CR,Yr2/10,133
31752,CR,Yr2/10,126
31757,CR,Yr2/10,142
31755,CR,Yr2/10,139
31749,CR,Yr2/10,128
30579,CR,Yr2/10,177
30581,CR,Yr2/10,142
30601,SR,Yr2/10,143.1
30603,SR,Yr2/10,167.4
30605,SR,Yr2/10,147.4
30607,SR,Yr2/10,129
30608,SR,Yr2/10,162.4
30604,SR,Yr2/10,141.6
30602,SR,Yr2/10,129.2
30606,SR,Yr2/10,140
30618,SR,Yr2/10,135
30616,SR,Yr2/10,141.6
30590,ER,Yr2/10,137
30598,ER,Yr2/10,137
30593,ER,Yr2/10,148
30594,ER,Yr2/10,126
30599,ER,Yr2/10,144
46198,ER,Yr2/10,149
30596,AR,Yr2/10,141
29957,AR,Yr2/10,162
29958,AR,Yr2/10,134
30595,AR,Yr2/10,141
29956,AR,Yr2/10,155
30600,ER,Yr2/10,151
29959,AR,Yr2/11,144
29962,AR,Yr2/11,126
29961,AR,Yr2/11,136
29965,AR,Yr2/11,147
30589,PR,Yr2/11,146.1
29966,AR,Yr2/11,152
30591,AR,Yr2/11,156
46202,AR,Yr2/11,154
46430,BR,Yr1/9,116
46576,PR,Yr1/9,106
46574,PR,Yr1/9,53
46569,PR,Yr1/9,51
46571,PR,Yr1/9,57
45765,PE,Yr1/9,121
45727,PE,Yr1/9,120
45747,PE,Yr1/9,123.5
46216,YR,Yr1/10,121
45749,PE,Yr1/10,113
46567,PR,Yr1/10,102
45729,PE,Yr1/10,119
46039,CR,Yr1/10,121
46034,CR,Yr1/10,114
46035,CR,Yr1/10,89
46036,CR,Yr1/10,118
46037,CR,Yr1/10,111
46042,CR,Yr1/10,120
46044,CR,Yr1/10,105
46047,CR,Yr1/10,105
45709,ER,Yr1/10,111
46049,CR,Yr1/10,99
46050,CR,Yr1/10,118
46051,CR,Yr1/10,104
46052,CR,Yr1/10,113
45715,ER,Yr1/10,103
45739,BR,Yr1/10,121
45713,ER,Yr1/10,109
45736,ER,Yr1/10,107
45655,PR,Yr1/10,114
46575,PR,Yr1/10,93
46568,PR,Yr1/11,98
46572,PR,Yr1/11,87
45656,PR,Yr1/11,105
45652,PR,Yr1/11,53.5
45653,PR,Yr1/11,57
56570,PR,Yr1/11,102
6505,OR,Yr2/8,95
6513,OR,Yr2/8,90
6509,OR,Yr2/8,98
6508,OR,Yr2/8,97
45053,PR,Yr2/9,104
40497,PR,Yr2/9,51
40498,PR,Yr2/9,69
2636,PR,Yr2/9,45
31733,CR,Yr2/10,104
30543,BR,Yr2/10,122
30561,YR,Yr2/10,122
2640,PR,Yr2/10,40.8
2635,PR,Yr2/10,50
30541,BR,Yr2/10,123
30536,BR,Yr2/10,123
30535,BR,Yr2/10,123
31730,CR,Yr2/10,87
31731,CR,Yr2/10,123
31732,CR,Yr2/10,102
31735,CR,Yr2/10,95
31737,CR,Yr2/10,123
31738,CR,Yr2/10,96
31739,CR,Yr2/10,67
31740,CR,Yr2/10,115
31742,CR,Yr2/10,91
31743,CR,Yr2/10,120
31792,PR,Yr2/10,67
2634,PR,Yr2/10,49.8
31747,CR,Yr2/10,119
31745,CR,Yr2/10,89
31744,CR,Yr2/10,87
31746,CR,Yr2/10,117
31754,CR,Yr2/10,114
31748,CR,Yr2/10,121
31794,PR,Yr2/10,95.6
2639,PR,Yr2/10,69.4
32248,PR,Yr2/10,124
46205,ER,Yr2/10,124
31753,CR,Yr2/10,107
31758,CR,Yr2/10,124
31756,CR,Yr2/10,110
31750,CR,Yr2/10,84
31751,CR,Yr2/10,100
30614,SR,Yr2/10,123.8
30597,AR,Yr2/10,122
40494,PR,Yr2/11,53.2
29960,AR,Yr2/11,116
29963,AR,Yr2/11,116
29964,AR,Yr2/11,116
46196,AR,Yr2/11,115
46199,AR,Yr2/11,115
46200,AR,Yr2/11,109
29967,AR,Yr2/11,119
1121578,CR,Yr2/10,186
305082,CR,Yr2/10,132
62416,BR,Yr2/10,160
46208,PR,Yr2/10,138
45789,BR,Yr1/10,147
44398,ER,Yr2/10,149
47987,CR,Yr1/6,133
46449,ER,Yr1/9,145
46420,BR,Yr1/9,153
46220,YR,Yr1/10,156
46166,YR,Yr1/10,146
45760,BR,Yr1/10,167
45863,CR,Yr1/10,136
45866,CR,Yr1/2,146
45867,CR,Yr1/10,144
46183,CR,Yr1/10,133
45756,ER,Yr1/10,138
45724,ER,Yr1/10,141
45734,BR,Yr1/10,142
46178,AR,Yr1/11,138
45761,ER,Yr1/10,120
45763,BR,Yr1/10,120
45726,ER,Yr1/10,121
